EAN,ITEM SKU,PRODUCT NAME,BRAND NAME,REQUIRED PRICE TO AMAZON
8032529110146,3478,Subtil Pour Homme,Salvatore Ferragamo,40.19
3414200161015,3479,Lovely,Sarah Jessica Parker,23.13
3607346965733,3481,Lovely,Sarah Jessica Parker,33.56
8300186909367,3522,O-ZONE,Sergio Tacchini,11.33
3355992000260,3558,Lapidus Pour Homme,Ted Lapidus,37.94
3439602800317,3568,Alien  Refillable,Thierry Mugler,117.98
688575179415,3738,Princess,Vera Wang,35.64
8011003993826,3745,Bright Crystal,Versace,95.02
8011003993802,3746,Bright Crystal,Versace,63.95
8011003993819,3747,Bright Crystal,Versace,72.78
8018365071469,3748,Crystal Noir,Versace,99.1
8011003996179,3755,Dreamer,Versace,34.16
8011003996766,3758,Dreamer,Versace,53.58
8018365270756,3774,Red Jeans Woman,Versace,29.38
8018365146006,3779,L´Homme,Versace,48.69
8018365500020,3783,Man Eau Fraiche,Versace,58.35
8018365500013,3784,Man Eau Fraiche,Versace,45.96
8018365500037,3788,Man Eau Fraiche,Versace,80.53
8018365250468,3802,Woman,Versace,64.45
3360374000011,3815,Flowerbomb,Viktor & Rolf,101.21
3360374000059,3816,Flowerbomb,Viktor & Rolf,133.73
3360374000004,3817,Flowerbomb,Viktor & Rolf,93.08
3365440003842,3857,Kouros,Yves Saint Laurent,91.58
3365440316560,3862,L´Homme,Yves Saint Laurent,115.49
3365440316546,3863,L´Homme,Yves Saint Laurent,86.19
3365440246737,3916,Rive Gauche,Yves Saint Laurent,103.13
88300178346,3933,Euphoria,Calvin Klein,47.86
3348900628144,3976,Eau Sauvage Extreme,Christian Dior,133.51
8595562299952,3993,L´Eau D´Issey Pour Homme,Issey Miyake,58.55
3145891233803,4041,Allure Homme Sport Cologne,Chanel,161.65
8028713000119,4072,Colonia,Acqua di Parma,67.18
3360372115526,4087,Code,Giorgio Armani,40.73
5050456010264,4107,Agent Provocateur,Agent Provocateur,36.49
8032529114755,4159,Incanto Shine,Salvatore Ferragamo,39.18
88300196876,4181,CK IN2U,Calvin Klein,40.75
88300196814,4182,CK IN2U,Calvin Klein,37.07
88300196944,4183,CK IN2U,Calvin Klein,38.55
3614226904997,4184,London   For Men,Burberry,45.94
88300196890,4192,CK IN2U,Calvin Klein,33.56
3614226905215,4197,London   For Men,Burberry,63.26
3360372058861,4201,Acqua di Giò Pour Homme,Giorgio Armani,99.91
783320402586,4207,Omnia Amethyste,Bvlgari,107.65
737052079080,4227,Light Blue Pour Homme,Dolce&Gabbana,92.13
